id,latitude,longitude,affected+displaced,displacement_date,event_name,description
138224,32.32422103,35.48666147,14,1/31/2024,Palestine: Communal violence (Coercive Environment) - Tubas Governorate (Ein Al Hilwa Wadi Al Faw) - 31/01/2024,"Palestine: 14 displacements, 31 January - 31 January. Communal violence resulted in a total of 2 households being displaced from Ein Al Hilwa Wadi Al Faw as of 31 January, according to West Bank Protection Consortium."
138555,31.806061,35.326118,4,1/30/2024,Palestine: International armed conflict (IAC) (Demolitions) - Jerusalem Governorate - 01/01/2024,"Palestine: 4 displacements (destroyed housing), 30 January - 30 January. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 4 people were displaced by housing demolitions in Ramallah/Jerusalem on 30 January."
138664,32.327461,35.084259,12,1/30/2024,Palestine: International armed conflict (IAC) (Demolitions) - Tulkarm Governorate - 01/01/2024,"Palestine: 12 displacements (destroyed housing), 30 January - 30 January. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 12 people were displaced by housing demolitions during military operations in Tulkarm Governorate on 30 January."
138663,32.426182,35.25536,8,1/29/2024,Palestine: International armed conflict (IAC) (Demolitions) - Jenin Governorate - 01/01/2024,"Palestine: 8 displacements (destroyed housing), 29 January - 29 January. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 8 people were displaced by housing demolitions during military operations in Jenin Governorate on 29 January."
138674,32.1908,35.32328,5,1/23/2024,Palestine: International armed conflict (IAC) (Demolitions) - Nablus Governorate - 01/01/2024,"Palestine: 5 displacements (destroyed housing), 23 January - 23 January. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 5 people were displaced on punitive grounds in Nablus Governorate on 23 January."
138553,31.505951,35.11739,11,1/23/2024,Palestine: International armed conflict (IAC) (Demolitions) - Hebron Governorate - 01/01/2024,"Palestine: 11 displacements (destroyed housing), 23 January - 23 January. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 11 people were displaced by housing demolitions in Hebron Governorate on 23 January."
138556,31.806061,35.326118,5,1/21/2024,Palestine: International armed conflict (IAC) (Demolitions) - Jerusalem Governorate - 01/01/2024,"Palestine: 5 displacements (destroyed housing), 21 January - 21 January. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 5 people were displaced by housing demolitions in Ramallah/Jerusalem on 21 January."
138673,31.505951,35.11739,5,1/21/2024,Palestine: International armed conflict (IAC) (Demolitions) - Hebron Governorate - 01/01/2024,"Palestine: 5 displacements (destroyed housing), 21 January - 21 January. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 5 people were displaced on punitive grounds in Hebron Governorate on 21 January."
138557,32.1908,35.32328,18,1/18/2024,Palestine: International armed conflict (IAC) (Demolitions) - Nablus Governorate - 01/01/2024,"Palestine: 18 displacements (destroyed housing), 18 January - 18 January. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 18 people were displaced by housing demolitions in Nablus Governorate on 18 January."
138552,31.806061,35.326118,1,1/17/2024,Palestine: International armed conflict (IAC) (Demolitions) - Jerusalem Governorate - 01/01/2024,"Palestine: 1 displacement (destroyed housing), 17 January - 17 January. According to Office for the Coordination of Humanitarian Affairs (OCHA), one person was displaced by housing demolitions in Ramallah/Jerusalem on 17 January."
